lemma,poscode,surface
Soccer,3,Soccer
 Football,3, Football
 Basketball,3, Basketball
 Baseball,3, Baseball
 Volleyball,3, Volleyball
 Tennis,3, Tennis
 Golf,3, Golf
 Swimming,3, Swimming
 Running,3, Running
 Track and Field,3, Track and Field
 Skiing,3, Skiing
 Snowboarding,3, Snowboarding
 Skating,3, Skating
 Surfing,3, Surfing
 Skateboarding,3, Skateboarding
 Rock Climbing,3, Rock Climbing
 CrossFit,3, CrossFit
 Yoga,3, Yoga
 Pilates,3, Pilates
 Weightlifting,3, Weightlifting
 Bodybuilding,3, Bodybuilding
 Powerlifting,3, Powerlifting
 Martial Arts,3, Martial Arts
 Boxing,3, Boxing
 Wrestling,3, Wrestling
 Judo,3, Judo
 Karate,3, Karate
 Taekwondo,3, Taekwondo
 Jiu-Jitsu,3, Jiu-Jitsu
 Wrestling,3, Wrestling
 Fencing,3, Fencing
 Synchronized swimming,3, Synchronized swimming
 Diving,3, Diving
 Gymnastics,3, Gymnastics
 Rowing,3, Rowing
 Canoeing,3, Canoeing
 Kayaking,3, Kayaking
 Rafting,3, Rafting
 Sailing,3, Sailing
 Windsurfing,3, Windsurfing
 Kitesurfing,3, Kitesurfing
 Surfing,3, Surfing
 Bodyboarding,3, Bodyboarding
 Wakeboarding,3, Wakeboarding
 Water skiing,3, Water skiing
 BMX,3, BMX
 Mountain biking,3, Mountain biking
 Road cycling,3, Road cycling
 Triathlon,3, Triathlon
 Duathlon,3, Duathlon
 Adventure racing,3, Adventure racing
 Biathlon,3, Biathlon
 Cross country skiing,3, Cross country skiing
 Downhill skiing,3, Downhill skiing
 Freestyle skiing,3, Freestyle skiing
 Nordic skiing,3, Nordic skiing
 Snowshoeing,3, Snowshoeing
 Snowmobiling,3, Snowmobiling
 Speed skating,3, Speed skating
 Curling,3, Curling
 Field hockey,3, Field hockey
 Ice hockey,3, Ice hockey
 Lacrosse,3, Lacrosse
 Rugby,3, Rugby
 Cricket,3, Cricket
 Handball,3, Handball
 Field lacrosse,3, Field lacrosse
 Ultimate Frisbee,3, Ultimate Frisbee
 Dodgeball,3, Dodgeball
 Netball,3, Netball
 Aussie rules football,3, Aussie rules football
 Gaelic football,3, Gaelic football
 American football,3, American football
 Canadian football,3, Canadian football
 Association football,3, Association football
 Baseball,3, Baseball
 Softball,3, Softball
 Basketball,3, Basketball
 Beach volleyball,3, Beach volleyball
 Volleyball,3, Volleyball
 Beach soccer,3, Beach soccer
 Beach handball,3, Beach handball
 Beach rugby,3, Beach rugby
 Beach ultimate,3, Beach ultimate
 Beach dodgeball,3, Beach dodgeball
 Beach flag football,3, Beach flag football
 Beach cricket,3, Beach cricket
 Beach hockey,3, Beach hockey
 Beach water polo,3, Beach water polo
 Beach touch,3, Beach touch
 Beach netball,3, Beach netball
 Beach volleyball,3, Beach volleyball
 Beach soccer,3, Beach soccer
 Beach ultimate,3, Beach ultimate
 Beach handball,3, Beach handball
 Beach dodgeball,3, Beach dodgeball
 Beach flag football,3, Beach flag football
 Beach cricket,3, Beach cricket
 Beach hockey,3, Beach hockey
 Beach water polo,3, Beach water polo
 Beach touch,3, Beach touch
 Beach netball,3, Beach netball
 Beach volleyball,3, Beach volleyball
 Beach soccer,3, Beach soccer
 Beach ultimate,3, Beach ultimate
 Beach handball,3, Beach handball
 Beach dodgeball,3, Beach dodgeball
 Beach flag football,3, Beach flag football
 Beach cricket,3, Beach cricket
 Beach hockey,3, Beach hockey
 Beach water polo,3, Beach water polo
 Beach touch,3, Beach touch
 Beach netball,3, Beach netball
